Date,Time (Start),Time (End),Latitude,Longitude,Cast ID,Platform,Station,Profile Type,Notes
2026-06-23,11:30:00 AM,11:37:00 AM,50.365133,-96.844767,CTD-1,SMBOAT,Station HL,Surface,"RBR CTD, from Hardman Lake"
2026-06-23,12:46:00 PM,12:51:00 PM,50.385867,-96.8121,CTD-2,SMBOAT,Station 1,Suface,STN-1-River-RBR CTD
2026-06-23,1:32:00 PM,1:35:00 PM,50.420783,-96.808467,CTD-3,NAMAO,Station 2,Profile,STN-2
2026-06-23,1:37:00 PM,1:39:00 PM,50.420783,-96.808467,CTD-4,NAMAO,Station 2,Profile,STN-2-Repeat of CTD-3
2026-06-23,2:31:00 PM,2:34:00 PM,50.4811,-96.80895,CTD-5,NAMAO,CTD-5,Profile,"Depth 8m, RBR CTD, under boat"
2026-06-23,3:06:00 PM,3:08:00 PM,50.55125,-96.808167,CTD-6,NAMAO,CTD-6,Profile,"RBR CTD, went under the boat"
2026-06-23,3:39:00 PM,3:42:00 PM,50.620217,-96.804033,CTD-7,NAMAO,CTD-7,Profile,"RBR CTD, went under the boat"
2026-06-23,3:43:00 PM,3:44:00 PM,50.620217,-96.804033,CTD-8,NAMAO,CTD-8,Profile,"RBR CTD, repeat of CTD-7"
2026-06-23,5:19:00 PM,5:20:00 PM,50.697017,-96.791433,CTD-9,NAMAO,Station 59,Profile,STN-W59-RBR CTD
2026-06-25,12:08:00 PM,12:10:00 PM,50.65,-96.3398,CTD-10,SMBOAT,Station WR1,Profile,Secchi 107 cm
2026-06-25,1:20:00 PM,1:22:00 PM,50.6502,-96.359383,CTD-11,SMBOAT,Station WR2,Profile,Secchi 118 cm
2026-06-25,2:06:00 PM,2:11:00 PM,50.650417,-96.371617,CTD-12,SMBOAT,Station WR3,Profile,use second down cast
2026-06-25,2:21:00 PM,2:24:00 PM,50.653917,-96.384983,CTD-13,NAMAO,Station 7,Profile,Secchi 132 cm; depth 5.7 m
2026-06-25,2:56:00 PM,2:59:00 PM,50.688733,-96.418233,CTD-14,NAMAO,CTD-14,Profile,Depth 6.4 m
2026-06-25,3:18:00 PM,3:21:00 PM,50.719767,-96.44545,CTD-15,NAMAO,CTD-15,Profile,Depth 7.3 m
2026-06-25,3:40:00 PM,3:42:00 PM,50.75865,-96.449433,CTD-16,NAMAO,CTD-16,Profile,Depth 7.9 m
2026-06-25,4:37:00 PM,4:40:00 PM,50.80775,-96.496267,CTD-17,NAMAO,Station CS2,Profile,Secchi 158 cm
2026-06-25,5:24:00 PM,5:27:00 PM,50.79795,-96.6286,CTD-18,NAMAO,CTD-18,Profile,Depth 10.7 m
2026-06-25,5:57:00 PM,5:59:00 PM,50.796267,-96.710317,CTD-19,NAMAO,CTD-19,Profile,Depth 10.1 m
2026-06-25,6:34:00 PM,6:36:00 PM,50.6991,-96.7914,CTD-20,NAMAO,Station 59,Profile,Depth 10.1 m
2026-06-26,10:10:00 AM,10:14:00 AM,50.695683,-96.7914,CTD-21,NAMAO,Station 59,Profile,10m
2026-06-26,1:16:00 PM,1:19:00 PM,51.02235,-96.582583,CTD-22,NAMAO,Station W9,Profile,10 m
2026-06-26,2:07:00 PM,2:10:00 PM,50.977733,-96.630933,CTD-23,NAMAO,CTD-23,Profile,11 m
2026-06-26,2:34:00 PM,2:38:00 PM,50.936033,-96.674067,CTD-24,NAMAO,CTD-24,Profile,11.5 m
2026-06-26,3:00:00 PM,3:02:00 PM,50.89145,-96.718867,CTD-25,NAMAO,CTD-25,Profile,9.5 m
2026-06-26,3:54:00 PM,3:56:00 PM,50.844617,-96.7681,CTD-26,NAMAO,CTD-26,Profile,10.67 m
2026-06-26,4:32:00 PM,4:35:00 PM,50.89145,-96.7189,CTD-27,NAMAO,CTD-27,Profile,11.2 m
2026-06-26,4:57:00 PM,4:59:00 PM,50.7448,-96.779817,CTD-28,NAMAO,CTD-28,Profile,9 m
2026-06-26,5:25:00 PM,5:27:00 PM,50.70035,-96.828783,CTD-29,NAMAO,CTD-29,Profile,11 m
