Date,Station ,Latitude,Longitude,Depth (m),Chla (µg/L),PO4 (µmol/L),Si (µmol/L),NO2 (µmol/L),NO3 (µmol/L),? 15N (‰),N ug,? 13C  (‰),C ug,CDOM a( 440 (m-1)),TA (µmol/kg),DIC (µmol/kg),pH [1],pH [2],Cl- (µmol/L),SO42-  (µmol/L),Ca2+  (µmol/L),Mg2+  (µmol/L),Na+  (µmol/L),K+ (µmol/L),Ca/Na,Mg/Na
2025-06-16,S1,50.38541667,-96.81215,2,92.7,1.55,148.14,1.34,32.93,3.94,15.18,-29.87,93.98,2.097,3854.0,3532.3,8.5,8.5,930,2665,1720,1882,2335,209,0.74,0.81
2025-06-16,S2,50.43316667,-96.83326667,1.5,207.5,0.23,60.38,1.09,15.06,3.37,27.56,-27.88,152.07,2.183,,,,,592,1234,1116,996,1271,140,0.88,0.78
2025-06-16,W12,50.51768333,-96.83428333,0,11.1,2.11,74.52,0.34,13.06,N.D.,6.91,-30.35,61.2,1.702,2588.7,2491.4,8.2,,507,1074,985,898,1104,124,0.89,0.81
2025-06-16,W12,50.51768333,-96.83428333,5,2.1,2.58,37.15,0.16,14.88,N.D.,3.25,-27.59,35.37,1.726,2798.9,2698.3,8.2,,645,1220,1072,1003,1282,142,0.84,0.78
2025-06-18,S59,50.6954,-96.7914,0,26.4,5.34,109.61,0.03,2.54,4.5,26.35,-30.77,140.4,1.679,1952.8,1793.3,8.5,8.4,292,594,697,576,646,75,1.08,0.89
2025-06-18,S59,50.6954,-96.7914,5,6.1,1.70,67.75,0.03,0.35,5.98,13.61,-29.67,88.36,1.588,1919.3,1828.2,8.3,,294,591,709,574,645,74,1.10,0.89
2025-06-18,W10,50.84583333,-96.77016667,0,12.6,1.52,89.03,0.01,0.04,12.15,17.77,-30.85,102.88,1.608,1816.0,1718.9,8.3,,279,518,652,530,595,63,1.09,0.89
2025-06-18,W10,50.84583333,-96.77016667,5,7.9,2.04,99.57,0.02,3.50,10.6,12.13,-30.78,72.5,1.587,1728.6,1689.3,8.1,,263,498,633,502,562,60,1.13,0.89
2025-06-18,W9,51.02156667,-96.58418333,0,23.4,1.80,69.95,0.09,0.52,6.6,24.93,-31.82,130.05,1.645,1941.1,1868.0,8.3,,312,619,732,592,678,76,1.08,0.87
2025-06-18,W9,51.02156667,-96.58418333,5,6.2,1.99,92.01,0.12,1.03,N.D.,11.36,-34.69,87.9,1.736,1989.3,1914.1,8.2,,322,626,722,590,685,76,1.05,0.86
2025-06-18,W9,51.02156667,-96.58418333,9,1.4,1.21,75.30,0.06,0.91,N.D.,7.75,-29.09,65.41,1.541,1835.1,1824.0,7.8,,306,531,675,537,634,68,1.07,0.85
2025-06-19,CS1,50.84766667,-96.5473,0,13.3,3.33,63.29,0.04,0.85,7.61,11.16,-33.22,90.95,1.911,1260.2,1203.3,8.1,,127,214,453,297,277,33,1.64,1.07
2025-06-19,CS1,50.84766667,-96.5473,5,2.6,1.10,44.78,0.05,0.83,N.D.,5.31,-29.8,48.83,1.807,1424.5,1401.5,7.9,,161,296,516,358,357,43,1.45,1.00
2025-06-19,S59,50.69913333,-96.78486667,0,7.9,2.51,84.84,0.06,0.76,13.37,13.23,-32.81,77.53,1.621,1835.7,1746.4,,,273,539,676,529,592,69,1.14,0.89
2025-06-19,S59,50.69913333,-96.78486667,5,7.5,1.54,50.81,0.03,0.54,17.08,13.45,-29.51,72.34,1.442,1859.2,1715.9,8.3,,270,537,673,536,592,69,1.14,0.90
2025-06-19,S7,50.65105,-96.3727,0,9.0,0.14,42.61,0.00,0.06,1.67,21.86,-29.64,98.92,2.089,904.8,889.6,7.9,7.8,52,32,320,152,96,14,3.32,1.58
