Station,Type,Latitude,Longitude,Date,Start,End,Duration_min,n_fixes,id,match_2025,match_dist_m
Station 1,SMBOAT,50.385867,-96.8121,2026-06-23,12:46,12:51,,,,,
Station HL,SMBOAT,50.3774,-96.8256,2026-06-23,,,,,,,
Station 2,FULL,50.42081,-96.80824,2026-06-23,11:24,14:03,159,624,1,S2,2243
CTD,CTD,50.48077,-96.80895,2026-06-23,14:25,14:32,7.3,180,2,W12,4479
CTD,CTD,50.55087,-96.80738,2026-06-23,15:00,15:05,5,129,3,W12,4151
CTD,CTD,50.55151,-96.80931,2026-06-23,15:05,15:11,5.9,123,4,W12,4155
CTD,CTD,50.62984,-96.98098,2026-06-25,19:33,19:43,9.8,130,16,S59,15410
CTD,CTD,50.62992,-96.98095,2026-06-23,18:26,18:41,15.1,157,6,S59,15404
Gimli Harbour,FULL,50.63023,-96.9808,2026-06-25,8:06,8:41,35.1,176,7,S59,15378
Station 7,FULL,50.65409,-96.38523,2026-06-25,11:36,14:38,181.6,455,8,S7,946
CTD,CTD,50.68848,-96.41787,2026-06-25,14:53,15:01,8.8,125,9,T8,211
Station 59,FULL,50.69698,-96.79125,2026-06-23,16:11,17:32,81,763,5,S59,141
CTD,CTD,50.69888,-96.83197,2026-06-26,17:27,17:33,6.2,130,25,T7,2925
CTD,CTD,50.69937,-96.82999,2026-06-26,17:22,17:27,5,130,24,T7,2788
Station 59,CTD,50.69942,-96.79105,2026-06-25,18:29,18:38,9.1,184,15,S59,339
CTD,CTD,50.71934,-96.44526,2026-06-25,15:13,15:22,8.7,166,10,T8,3996
CTD,CTD,50.74387,-96.78003,2026-06-26,16:55,17:03,7.8,150,23,T6,1869
CTD,CTD,50.74665,-96.71057,2026-06-25,17:53,18:05,11.7,219,14,T13,113
CTD,CTD,50.75891,-96.44937,2026-06-25,15:37,15:42,5,130,11,T10,1973
CTD,CTD,50.79452,-96.77193,2026-06-26,16:27,16:35,8.2,187,22,T5,936
CTD,CTD,50.79783,-96.62851,2026-06-25,17:21,17:26,5.2,125,13,T12,370
Station CS2,FULL,50.80749,-96.49633,2026-06-25,16:02,16:53,51.2,242,12,T11,1322
Station W10,FULL,50.84494,-96.76779,2026-06-26,15:25,16:10,45.1,224,21,W10,194
CTD,CTD,50.89028,-96.71985,2026-06-26,14:58,15:03,5,134,20,T3,1247
CTD,CTD,50.93467,-96.67519,2026-06-26,14:32,14:37,5,129,19,T2,3182
CTD,CTD,50.97808,-96.63064,2026-06-26,14:01,14:13,11.9,132,18,T1,3265
Station W9,FULL,51.02196,-96.58293,2026-06-26,12:30,13:44,73.5,317,17,W9,98
